,nombre,fecha_limite,enlaces
10,PROYECTO DE REGLAS APLICABLES A LA FACILIDAD PERMANENTE PARA EL EJERCICIO DEL FINANCIAMIENTO OTORGADO POR EL BANCO DE MÉXICO PARA CUBRIR NECESIDADES DE LIQUIDEZ,Cerrado el 15/12/2023,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={70FC8626-B144-088B-985D-BF7941AB1ACB}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={E1D70322-3074-33C1-6D2C-C9C62C5CE00B}', 'Reporte de comentarios': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={D48722B1-CAB3-D3E7-FA1E-64A214EE2061}'}"
11,"CONSULTA PÚBLICA DEL PROYECTO DE DISPOSICIONES PARA MODIFICAR LAS REGLAS APLICABLES A LAS OPERACIONES DE REPORTO, EN MATERIA DE ESTÁNDARES INTERNACIONALES",Cerrado el 06/12/2023,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={4AABA8B8-6429-6544-E7FA-718DA5F4B49B}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={BE12EF72-7B95-2080-730F-E8CA60BA49B5}', 'Reporte de comentarios': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={9ED458B1-8A00-9F0D-6D07-359E7FB24563}'}"
12,"PROYECTO DE DISPOSICIONES PARA MODIFICAR LA CIRCULAR 36/2010 DEL BANCO DE MÉXICO, PARA LA ADOPCIÓN OBLIGATORIA DEL CATÁLOGO DE CATEGORÍAS DE COMISIONES",Cerrado el 27/10/2023,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={D1F862A4-4D83-57C8-188D-9E7A27A890B3}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={AE541F39-D5E4-38BF-E01A-1363BB6BBC74}', 'Reporte de comentarios': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={96AF2616-E27D-A194-CB87-23D153F9053B}'}"
13,"PROYECTO DE DISPOSICIONES PARA MODIFICAR LA CIRCULAR 3/2012 DEL BANCO DE MÉXICO, CON OBJETO DE ESTABLECER LA TIIE DE FONDEO COMPUESTA POR ADELANTADO A PLAZOS DE 28, 91 Y 182 DÍAS",Cerrado el 27/10/2023,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={19DB5D7C-8418-E500-0D7A-ACEE886690CD}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={81DC165B-4361-11D3-2A5A-290685EE6ED3}', 'Reporte de comentarios': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={EB7A00D1-BE91-21F4-2A5A-D2E30FB34956}'}"
14,"PROYECTO DE DISPOSICIONES PARA MODIFICAR LA CIRCULAR 14/2007 DEL BANCO DE MÉXICO, CON OBJETO DE ESTABLECER LA TIIE DE FONDEO COMPUESTA POR ADELANTADO A PLAZOS DE 28, 91 Y 182 DÍAS",Cerrado el 27/10/2023,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={F16FD014-E0F6-FA56-3EE6-4DE0EA7F7426}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={6DCB3D82-10D1-716D-044A-6B2126151B1D}', 'Reporte de comentarios': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={44DD9BB2-D161-061A-032D-A350568CDA9F}'}"
15,"CONSULTA PÚBLICA DEL PROYECTO DE DISPOSICIONES PARA MODIFICAR LAS REGLAS DEL SISTEMA DE PAGOS INTERBANCARIOS EN DÓLARES EMITIDAS MEDIANTE LA CIRCULAR 4/2016, EN MATERIA DE CIBERSEGURIDAD Y TECNOLOGÍAS DE LA INFORMACIÓN",Cerrado el 30/08/2023,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={64C3BC87-CEA9-DC08-6F20-491276A22941}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={82673672-3762-5D62-75F0-CDF9B232F21F}', 'Reporte de comentarios': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={0F6D5336-BB35-35FD-9178-C674F829CECE}'}"
16,"CONSULTA PÚBLICA DEL PROYECTO DE DISPOSICIONES PARA MODIFICAR LAS REGLAS DEL SISTEMA DE PAGOS ELECTRÓNICOS INTERBANCARIOS, EMITIDAS MEDIANTE LA CIRCULAR 14/2017, EN MATERIA DE CIBERSEGURIDAD Y TECNOLOGÍAS DE LA INFORMACIÓN",Cerrado el 30/08/2023,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={B33D4539-C746-FE7A-CCFA-BBE5B641A706}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={FFB0676F-2752-6906-1018-370DC260C93B}', 'Reporte de comentarios': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={83B3247B-0450-CBE2-72DF-A7DFE41CA759}'}"
17,"CONSULTA PÚBLICA DEL PROYECTO DE DISPOSICIONES PARA MODIFICAR LA CIRCULAR 4/2012, EN MATERIA DE REQUERIMIENTOS PARA LA CELEBRACIÓN DE OPERACIONES DERIVADAS",Cerrado el 30/08/2023,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={A216E822-FAE9-CFA3-17FE-255C7701655E}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={DBFDC9E0-02A1-4DCC-534D-C3AE7DAA65E1}', 'Reporte de comentarios': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={45846757-F7EA-E445-DEC2-32CE1E338C77}'}"
18,PROYECTO DE MODIFICACIONES A LA CIRCULAR DE OPERACIONES DE CAJA SOBRE LA ACTUALIZACIÓN DE COMISIONES QUE PAGAN LOS USUARIOS POR EL SERVICIO DE CORRESPONSALÍA DE CAJA Y ACTUALIZACIÓN DE PLAZAS A LA PAR,Cerrado el 31/07/2023,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={2D95FD2F-C750-C322-5D72-9A4297513942}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={3B6BDD6F-7244-23D3-0DEF-3E3A4016AED9}'}"
19,"PROYECTO DE DISPOSICIONES PARA MODIFICAR LA CIRCULAR 4/2012 DEL BANCO DE MÉXICO, CON OBJETO DE ESTABLECER LAS FECHAS A PARTIR DE LAS CUALES SE RESTRINGIRÁ EL USO DE LAS TIIE A PLAZOS MAYORES A UN DÍA HÁBIL BANCARIO COMO REFERENCIA PARA NUEVAS OPERACIONES",Cerrado el 29/06/2023,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={8B817EDA-B44E-80F8-2781-42EFD107D0F2}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={B1570E5B-3832-B595-B89E-44A7EA3E0FB8}', 'Reporte de comentarios': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={CEB14BCA-7B4B-7D0E-E782-EF83FF20D600}'}"
